number;type;tree;bush;diameter;height;description;action
1680;лещина куст;;1;;;водоохр.зона;Сохранить
1681;ирга куст;;1;;;водоохр.зона;Сохранить
1682;самосев лиственных пород;;;1;;водоохр.зона, липа, сухостой;Вырубить
1688;Ель;1;;48;;водоохр.зона, сухие ветви;Сохранить
1694;Ель;1;;12;;водоохр.зона;Сохранить
1695;Сосна;1;;86;;водоохр.зона, сухие ветви;Сохранить
1696;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1697;Сосна;1;;58;;водоохр.зона;Сохранить
1698;Сосна;1;;50;;водоохр.зона;Сохранить
1699;Сосна;1;;64;;водоохр.зона;Сохранить
1700;Сосна;1;;74;;водоохр.зона, сухие ветви;Сохранить
1701;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1702;Рябина;1;;6;;водоохр.зона, сухостой;Сохранить
3001;Ель;1;;50;;;Сохранить
3002;Ель;1;;25;;;Сохранить
3003;Ель;1;;10,50;;с доп.сухим стволом;Сохранить
3004;Ель;1;;53;;;Сохранить
3005;Ель;1;;54;;;Сохранить
3006;Липа;1;;24;;вытянут.крона;Сохранить
3007;Ель;1;;38;;;Сохранить
3008;Ель;1;;40;;;Сохранить
3008;самосев лиственных пород;;;1-2;;;Сохранить
3009;Ель;1;;40;;;Сохранить
3010;Береза;1;;24;;сухостой;Сохранить
3011;Липа;2;;10-12;;;Сохранить
3012;Ель;1;;48;;;Сохранить
3013;Липа;1;;14;;облом.ветви;Сохранить
3014;лещина куст;;2;;;;Сохранить
3015;Сосна;1;;42;;морозоб.;Сохранить
3015;самосев лиственных пород;;;1;;;Сохранить
3016;Сосна;1;;28;;;Сохранить
3017;Липа;1;;14;;;Сохранить
3018;Сосна;1;;53;;;Сохранить
3019;Ель;1;;36;;;Сохранить
3020;Сосна;1;;48;;;Сохранить
3021;Сосна;1;;39;;;Сохранить
3022;Ель;1;;46;;;Сохранить
3023;Ель;1;;60;;небольшой наклон;Сохранить
3024;Липа;1;;18,32;;двуствол., морозоб.;Сохранить
3025;Липа;1;;18,24;;двуствол., сух.вет.;Сохранить
3026;Ель;2;;46-48;;;Сохранить
3027;Липа;1;;44;;сух.ветви;Сохранить
3028;Сосна;1;;54;;;Сохранить
3029;Липа;2;;30-34;;;Сохранить
3030;Сосна;1;;63;;;Сохранить
3031;Ель;1;;34;;;Сохранить
3032;Сосна;1;;38;;;Сохранить
3033;Ель;1;;44;;;Сохранить
3034;Сосна;1;;40;;искривл.;Сохранить
3035;Ель;1;;15;;;Сохранить
3036;Остолоп;1;;16;;сухой, искривлен;Вырубить
3037;Липа;2;;16-24;;искривл.;Сохранить
3038;Ель;1;;28;;;Сохранить
3039;Сосна;1;;36;;;Сохранить
3040;Ель;1;;49;;;Сохранить
3041;Ель;1;;54;;;Сохранить
3042;Ель;1;;68;;;Сохранить
3043;Липа;1;;46;;искривл..в ниж.ч.ствола;Сохранить
3044;Ель;1;;24;;;Сохранить
3045;Липа;1;;15;;;Сохранить
3046;Сосна;1;;48;;искривл.верх.части;Сохранить
3047;Ель;1;;24;;;Сохранить
3048;Сосна;1;;36;;неб.искривл.;Сохранить
3049;Ель;1;;16;;;Сохранить
3050;Ель;1;;49;;;Сохранить
3051;Липа;1;;19;;;Сохранить
3052;лещина куст;;1;;;;Сохранить
3053;Липа;1;;15;;;Сохранить
3054;Сосна;1;;48;;;Сохранить
3055;Липа;1;;42;;;Сохранить
3056;Липа;1;;32;;;Сохранить
3057;Ель;1;;22;;;Сохранить
3058;Сосна;1;;56;;;Сохранить
3059;Ель;1;;24;;;Сохранить
3060;Клен остролистный;1;;10;;;Сохранить
3061;Сосна;1;;58;;;Вырубить
3062;Ель;1;;15;;;Сохранить
3063;Липа;1;;32;;;Сохранить
3064;Ель;1;;30;;;Сохранить
3063;Липа;1;;32;;;Сохранить
3064;Ель;1;;30;;;Сохранить
3065;Сосна;1;;48;;;Вырубить
3066;Липа;1;;24;;;Вырубить
3067;Липа;1;;44;;;Сохранить
3068;Липа;2;;20-26;;;Сохранить
3069;Сосна;1;;46;;вытянут.;Сохранить
3070;Сосна;1;;30;;;Сохранить
3071;Сосна;1;;36;;;Вырубить
3072;Сосна;1;;56;;;Сохранить
3073;Ель;1;;16;;;Сохранить
3074;Ель;1;;15;;верш.обломана;Сохранить
3075;Сосна;2;;52-56;;1 с неб.накл.;Сохранить
3076;Ель;1;;60;;;Сохранить
3077;Сосна;1;;48;;;Сохранить
3078;Липа;1;;19;;;Сохранить
3079;Липа;2;;6-10;;1 искривл., 1 облом.верх.;Сохранить
3080;Береза;1;;11;;искривл, усых., вытянут.;Сохранить
3081;Сосна;1;;47;;;Сохранить
3082;Сосна;1;;48;;;Сохранить
3083;лещина куст;;1;;;;Вырубить
3084;Ель;1;;46;;;Вырубить
3085;Липа;1;;21;;;Сохранить
3086;Липа;1;;33;;удовлетв.;Вырубить
3086;Липа;1;;6-8;;дугообр.искривл.;Сохранить
3087;Ель;1;;26;;стар.поврежд.коры, морозоб.;Сохранить
3088;Ель;1;;16;;;Сохранить
3089;Ель;1;;10;;;Сохранить
3090;Ель;1;;52;;;Сохранить
3091;Липа;1;;8;;вытянут.;Сохранить
3092;Ель;1;;20;;;Сохранить
3093;Сосна;2;;56-62;;искривл.ствола;Сохранить
3094;Ель;1;;15;;;Вырубить
3095;Липа;1;;19;;;Сохранить
3096;Сосна;2;;36-54;;;Сохранить
3096;самосев лиственных пород;;;1-2;;;Сохранить
3097;Ель;1;;13;;;Сохранить
3098;Сосна;1;;34;;стар.поврежд.ств.,искривл.верх.части;Сохранить
3099;Ель;1;;46;;;Сохранить
3100;Липа;1;;30;;сильное искривл.верх.ч.ств.;Сохранить
3101;Липа;1;;26;;;Сохранить
3102;Рябина;1;;11;;многочисл.морозоб.;Вырубить
3103;Сосна;1;;46;;;Сохранить
3104;Ель;2;;48-52;;;Сохранить
3105;Рябина;1;;6-8;;сух.вет.;Сохранить
3105;лещина куст;;2;;;;Сохранить
3106;лещина куст;;3;;;возрастн.;Сохранить
3107;Сосна;1;;55;;однобок., облом.верш.;Сохранить
3108;Ель;1;;28;;;Сохранить
3109;Сосна;1;;56;;;Сохранить
3110;Сосна;1;;62;;;Сохранить
3111;Ель;1;;66;;сухостой част.без коры;Сохранить
3112;Липа;1;;36;;искривл.;Сохранить
3113;Ель;1;;30;;;Сохранить
3114;Черемуха;1;;16;;наклон., с развилкой;Сохранить
3115;лещина куст;;1;;;сухие ветви;Сохранить
3116;Ель;1;;30;;;Сохранить
3117;Сосна;1;;58;;;Сохранить
3117;лещина куст;;1;;;;Сохранить
3118;Ель;1;;32;;;Сохранить
3119;Сосна;1;;54;;;Сохранить
3120;Липа;1;;40;;сух.вет.;Сохранить
3121;Липа;1;;34;;сух.вет.;Сохранить
3122;Липа;1;;34;;;Сохранить
3123;Сосна;1;;48;;;Сохранить
